L1,L2,L3,ID,Function,EC,Gene
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K11389,Glyceraldehyde-3-phosphate dehydrogenase (ferredoxin),1.2.7.6,gapor
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K00131,Glyceraldehyde-3-phosphate dehydrogenase (NADP+),1.2.1.9,gapN
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K18978,Glyceraldehyde-3-phosphate dehydrogenase [NAD(P)+],1.2.1.90,gapN
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K01596,Phosphoenolpyruvate carboxykinase (GTP),4.1.1.32,"E4.1.1.32, pckA, PCK"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K01610,Phosphoenolpyruvate carboxykinase (ATP),4.1.1.49,"E4.1.1.49, pckA"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K01222,6-phospho-beta-glucosidase,3.2.1.86,"E3.2.1.86A, celF"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K01223,6-phospho-beta-glucosidase,3.2.1.86,"E3.2.1.86B, bglA"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K02777,Sugar PTS system EIIA component,2.7.1.-,crr
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K02779,Glucose PTS system EIICB or EIICBA component,2.7.1.199,ptsG
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K02791,Maltose/glucose PTS system EIICB component,2.7.1.199 2.7.1.208,malX
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K20118,Glucose PTS system EIICBA or EIICB component,2.7.1.199,"ptsG, glcA, glcB"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K02753,Beta-glucoside (arbutin/salicin/cellobiose) PTS system EIICB component,2.7.1.-,ascF
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K01647,Citrate synthase,2.3.3.1,"CS, gltA"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K01648,ATP citrate (pro-S)-lyase,2.3.3.8,ACLY
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K15230,ATP-citrate lyase alpha-subunit,2.3.3.8,aclA
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K15231,ATP-citrate lyase beta-subunit,2.3.3.8,aclB
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K05942,Citrate (Re)-synthase,2.3.3.3,E2.3.3.3
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K01681,Aconitate hydratase,4.2.1.3,"ACO, acnA"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K01682,Aconitate hydratase 2 / 2-methylisocitrate dehydratase,4.2.1.3 4.2.1.99,acnB
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K00031,Isocitrate dehydrogenase,1.1.1.42,"IDH1, IDH2, icd"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K00030,Isocitrate dehydrogenase (NAD+),1.1.1.41,IDH3
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K17753,Isocitrate--homoisocitrate dehydrogenase,1.1.1.286,HICDH
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K00164,2-oxoglutarate dehydrogenase E1 component,1.2.4.2,"OGDH, sucA"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K00658,2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase),2.3.1.61,"DLST, sucB"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K01616,Multifunctional 2-oxoglutarate metabolism enzyme,2.2.1.5 4.1.1.71 1.2.4.2 2.3.1.61,kgd
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K00382,Dihydrolipoamide dehydrogenase,1.8.1.4,"DLD, lpd, pdhD"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K00174,2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha,1.2.7.3 1.2.7.11,"korA, oorA, oforA"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K00175,2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta,1.2.7.3 1.2.7.11,"korB, oorB, oforB"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K00177,2-oxoglutarate ferredoxin oxidoreductase subunit gamma,1.2.7.3,"korC, oorC"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K00176,2-oxoglutarate ferredoxin oxidoreductase subunit delta,1.2.7.3,"korD, oorD"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K01902,Succinyl-CoA synthetase alpha subunit,6.2.1.5,sucD
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K01903,Succinyl-CoA synthetase beta subunit,6.2.1.5,sucC
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K01899,Succinyl-CoA synthetase alpha subunit,6.2.1.4 6.2.1.5,LSC1
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K01900,Succinyl-CoA synthetase beta subunit,6.2.1.4 6.2.1.5,LSC2
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K18118,Succinyl-CoA:acetate CoA-transferase,2.8.3.18,"aarC, cat1"
Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle) [PATH:ko00020],K00234,Succinate dehydrogenase (ubiquinone) flavoprotein subunit,1.3.5.1,"SDHA, SDH1"
