"","gtdb_f","f_spor","ID","GTDB_tax"
"78","Acidaminococcaceae",FALSE,"Norman_38_NODE_25_length_10180_cov_14236.396148","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"79","Acidaminococcaceae",FALSE,"Ma_2019_SRR413689_NODE_514_length_35205_cov_4.100825","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"80","Acidaminococcaceae",FALSE,"uvig_328094","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/NA,Firmicutes/Negativicutes/Veillonellales/Megasphaeraceae/Caecibacter/Caecibacter massiliensis"
"81","Acidaminococcaceae",FALSE,"Han_2018_ERR1398166_NODE_146_length_26520_cov_34.411525","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"82","Acidaminococcaceae",FALSE,"Ma_2019_SRR413664_NODE_176_length_60027_cov_3.989445","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"83","Acidaminococcaceae",FALSE,"uvig_285526","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus massiliensis"
"84","Acidaminococcaceae",FALSE,"uvig_73801","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus intestini,Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus intestini"
"85","Acidaminococcaceae",FALSE,"Ma_2019_SRR1778453_NODE_1743_length_14178_cov_4.299724","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"86","Acidaminococcaceae",FALSE,"Ma_2019_SRR413751_NODE_6156_length_5092_cov_4.187612","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"87","Acidaminococcaceae",FALSE,"Ma_2019_SRR341684_NODE_1777_length_5131_cov_3.321710","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"88","Acidaminococcaceae",FALSE,"uvig_486636","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus intestini,Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus intestini"
"89","Acidaminococcaceae",FALSE,"SRR7892481_NODE_46_length_5010_cov_16.264379","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"90","Acidaminococcaceae",FALSE,"uvig_294603","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus intestini"
"91","Acidaminococcaceae",FALSE,"Ma_2019_SRR413703_NODE_375_length_42074_cov_2.644137","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"92","Acidaminococcaceae",FALSE,"Ma_2019_SRR341642_NODE_390_length_39215_cov_2.147370","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"93","Acidaminococcaceae",FALSE,"uvig_47684","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/NA"
"94","Acidaminococcaceae",FALSE,"Ma_2019_SRR1778454_NODE_6725_length_5092_cov_32.311892","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"95","Acidaminococcaceae",FALSE,"uvig_419580","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus massiliensis"
"96","Acidaminococcaceae",FALSE,"uvig_425052","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus massiliensis"
"97","Acidaminococcaceae",FALSE,"uvig_417809","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/NA,Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus intestini,Firmicutes/Negativicutes/Veillonellales/Megasphaeraceae/Caecibacter/Caecibacter massiliensis"
"98","Acidaminococcaceae",FALSE,"SRR7892442_NODE_17_length_22054_cov_29.770808","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"99","Acidaminococcaceae",FALSE,"Ma_2019_SRR341667_NODE_393_length_43763_cov_10.064656","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"100","Acidaminococcaceae",FALSE,"Ma_2019_SRR413702_NODE_4365_length_5309_cov_2.633612","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"101","Acidaminococcaceae",FALSE,"Minot_Diet_SRR5088943_NODE_48_length_44250_cov_16.845322","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"102","Acidaminococcaceae",FALSE,"Ma_2019_SRR413680_NODE_5421_length_5070_cov_7.378465","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"103","Acidaminococcaceae",FALSE,"uvig_333143","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus massiliensis"
"104","Acidaminococcaceae",FALSE,"Ma_2019_SRR413697_NODE_4395_length_5091_cov_8.073074","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"105","Acidaminococcaceae",FALSE,"Ma_2019_SRR413700_NODE_448_length_45471_cov_4.513497","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"106","Acidaminococcaceae",FALSE,"Han_2018_ERR1398130_NODE_7117_length_5041_cov_8.608905","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"107","Acidaminococcaceae",FALSE,"Han_2018_ERR1398161_NODE_2514_length_6778_cov_7.354901","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"108","Acidaminococcaceae",FALSE,"uvig_333144","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/NA,Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus massiliensis"
"109","Acidaminococcaceae",FALSE,"Ma_2019_SRR413723_NODE_378_length_39206_cov_3.271079","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"110","Acidaminococcaceae",FALSE,"Ma_2019_SRR341710_NODE_2241_length_10229_cov_13.693336","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"111","Acidaminococcaceae",FALSE,"Ma_2019_SRR413716_NODE_96_length_56809_cov_2.346478","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"112","Acidaminococcaceae",FALSE,"uvig_291959","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus intestini"
"113","Acidaminococcaceae",FALSE,"Ma_2019_SRR341718_NODE_2167_length_7241_cov_2.319093","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"114","Acidaminococcaceae",FALSE,"Rampelli_SM_32_NODE_157_length_68201_cov_5.193878","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"115","Acidaminococcaceae",FALSE,"Han_2018_ERR1398121_NODE_2653_length_7446_cov_29.799621","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"116","Acidaminococcaceae",FALSE,"uvig_213113","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/NA"
"117","Acidaminococcaceae",FALSE,"Shkoporov_2019_SRR9161588_NODE_40_length_42055_cov_21.772310","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"118","Acidaminococcaceae",FALSE,"Norman_136_NODE_50_length_7282_cov_173.791892","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"119","Acidaminococcaceae",FALSE,"uvig_28230","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus intestini"
"120","Acidaminococcaceae",FALSE,"uvig_247938","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/NA,Firmicutes/Negativicutes/Veillonellales/Megasphaeraceae/Caecibacter/Caecibacter massiliensis"
"121","Acidaminococcaceae",FALSE,"Ma_2019_SRR413682_NODE_733_length_23870_cov_2.111988","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"122","Acidaminococcaceae",FALSE,"Ma_2019_SRR413690_NODE_3732_length_7271_cov_2.071646","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"123","Acidaminococcaceae",FALSE,"SRR5495036_NODE_30_length_5016_cov_2152.287442","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"124","Acidaminococcaceae",FALSE,"Ma_2019_SRR413641_NODE_22_length_141155_cov_5.501049","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"125","Acidaminococcaceae",FALSE,"uvig_287813","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/NA"
"126","Acidaminococcaceae",FALSE,"SRR5495022_NODE_23_length_5037_cov_11.219189","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"127","Acidaminococcaceae",FALSE,"Ma_2019_SRR341663_NODE_2359_length_5413_cov_6.316909","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
